07/07/2016 20:45,Dire Straits,Walk Of Life
07/07/2016 20:41,Billy Ocean,"Get Outta My Dreams, Get Into My Car"
07/07/2016 20:37,Gloria Gaynor,I Will Survive
07/07/2016 20:32,Pet Shop Boys,It&apos;s A Sin
07/07/2016 20:29,Tony Christie,(Is This The Way To) Amarillo
07/07/2016 20:26,Mike Oldfield,Moonlight Shadow
07/07/2016 20:20,UB40,Kingston Town
07/07/2016 20:16,Midge Ure,If I Was
07/07/2016 20:13,Aretha Franklin,Respect
07/07/2016 20:10,Thelma Houston,Don&apos;t Leave Me This Way
07/07/2016 20:06,Michael Jackson,Bad
07/07/2016 20:00,Abba,I Have a Dream
07/07/2016 19:55,Steve Winwood,Higher Love
07/07/2016 19:51,Alphaville,Forever Young
07/07/2016 19:46,Madonna,Borderline
07/07/2016 19:41,Donna Summer,Bad Girls
07/07/2016 19:37,Joe Cocker,Summer In The City
07/07/2016 19:33,Village People,Go West
07/07/2016 19:28,Simply Red,Stars
07/07/2016 19:24,Steve Miller Band,The Joker
07/07/2016 19:19,Nik Kershaw,The Riddle
07/07/2016 19:14,ABBA,Voulez-Vous
07/07/2016 19:09,Anita Ward,Ring My Bell
07/07/2016 19:05,Eric Clapton,Layla (Unplugged)
07/07/2016 19:00,Tanita Tikaram,Twist In My Sobriety
07/07/2016 18:53,Michael Jackson,Don´t Stop´til You Get Enough
07/07/2016 18:50,Queen,Another One Bites The Dust
07/07/2016 18:47,Aretha Franklin,Think
07/07/2016 18:42,Dna &amp; Suzanne Vega,Tom´s Diner
07/07/2016 18:34,Dire Straits,Tunnel Of Love
07/07/2016 18:30,Lipps Inc.,Funkytown
07/07/2016 18:26,A-ha,Take On Me
07/07/2016 18:23,Maxine Nightingale,Right Back Where We Started From
07/07/2016 18:19,Bryan Adams,Summer Of 69
07/07/2016 18:12,George Michael,Careless Whisper
07/07/2016 18:08,John Parr,St Elmo&apos;s Fire (Live)
07/07/2016 18:05,Carole King,I Feel The Earth Move
07/07/2016 18:02,Madonna,La Isla Bonita
07/07/2016 17:57,Billy Ocean,Loverboy
07/07/2016 17:55,Creedence Clearwater Revival,Who´ll Stop The Rain
07/07/2016 17:51,Pointer Sisters,Im So Excited
07/07/2016 17:47,Level 42,Running In The Family
07/07/2016 17:43,Ray Parker Jr.,Ghostbusters
07/07/2016 17:38,ABBA,The Winner Takes It All
07/07/2016 17:33,Johnny Hates Jazz,Shattered Dreams
07/07/2016 17:28,Phil Collins,Another Day In Paradise
07/07/2016 17:25,Glenn Frey,The Heat Is On
07/07/2016 17:21,Mamas &amp; The Papas,San Francisco (Live)
07/07/2016 17:15,Culture Club,Do You Really Want To Hurt Me
07/07/2016 17:12,Taco,Puttin´ On The Ritz
07/07/2016 17:05,Boston,More Than A Feeling
07/07/2016 17:00,Gazebo,I Like Chopin
07/07/2016 16:56,Belinda Carlisle,Heaven Is A Place On Earth
07/07/2016 16:51,Belowed,Sweet Harmony
07/07/2016 16:48,Olivia Newton-John &amp; John Travolta,You´re The One That I Want
07/07/2016 16:44,Chris Rea,Road To Hell
07/07/2016 16:40,Madonna,Papa Don´t Preach
07/07/2016 16:33,Bee Gees,Tragedy
07/07/2016 16:30,Bob Marley &amp; The Wailers,Buffalo Soldier (Edit Version)
07/07/2016 16:26,Christie,Yellow River
07/07/2016 16:20,Whitney Houston,I Wanna Dance With Somebody
07/07/2016 16:15,Simple Minds,Don&apos;t You (Forget About Me)
07/07/2016 16:10,Boney M.,Daddy Cool
07/07/2016 16:05,Donna Summer,She Works Hard For The Money
07/07/2016 16:02,George Michael,Faith
07/07/2016 15:54,Electric Light Orchestra,Livin´ Thing
07/07/2016 15:50,Eurythmics,Sweet Dreams (Are Made Of This)
07/07/2016 15:47,Fine Young Cannibals,Johnny Come Home
07/07/2016 15:43,Abba,Thank You For The Music
07/07/2016 15:37,Chris Isaak,Blue Hotel
07/07/2016 15:33,Tina Turner,Private Dancer
07/07/2016 15:29,Eruption,One Way Ticket
07/07/2016 15:23,Laura Branigan,Self Control
07/07/2016 15:20,Suzanne Vega,Luka
07/07/2016 15:12,Kiss,I Was Made For Loving You
07/07/2016 15:08,Police,Every Breath You Take
07/07/2016 15:04,Culture Club,Karma Chameleon
07/07/2016 14:55,Huey Lewis &amp; The News,Power Of Love
07/07/2016 14:52,Gibson Brothers,Cuba
07/07/2016 14:47,Irene Cara,Flashdance... (What a Feeling)
07/07/2016 14:42,Maxi Priest,Wild World
07/07/2016 14:35,Toto,Hold The Line
07/07/2016 14:32,Michael Jackson,Smooth Criminal
07/07/2016 14:29,Dusty Springfield,Son Of a Preacher Man
07/07/2016 14:21,Queen,A Kind Of Magic
07/07/2016 14:16,David Lee Roth,Just A Gigolo
07/07/2016 14:09,ABBA,Gimme Gimme Gimme
07/07/2016 14:03,Cyndi Lauper,Girls Just Want To Have Fun
07/07/2016 13:59,Desireless,Voyage Voyage
07/07/2016 13:50,Inxs,Need You Tonight
07/07/2016 13:46,Bruce Springsteen,Dancing In The Dark
07/07/2016 13:40,Dionne Warwick,Heartbreaker
07/07/2016 13:34,Human League,Don&apos;t You Want Me
07/07/2016 13:30,Barbra Streisand,Woman In Love
07/07/2016 13:24,Hot Chocolate,You Sexy Thing
07/07/2016 13:18,Pretenders,Don&apos;t Get Me Wrong
07/07/2016 13:14,Michael Jackson,Beat It
07/07/2016 13:07,Bee Gees,Stayin Alive
07/07/2016 13:02,Survivor,Eye Of The Tiger
07/07/2016 12:58,Maggie Reilly,Everytime We Touch
07/07/2016 12:52,Ottawan,Hands Up
07/07/2016 12:48,Steve Kekana,Raising My Family
07/07/2016 12:42,Ville Valo,Olet mun kaikuluotain
07/07/2016 12:36,Donna Summer,I Feel Love
07/07/2016 12:33,Men At Work,Down Under
07/07/2016 12:27,Eric Clapton,I Shot the Sheriff
07/07/2016 12:20,Cutting Crew,(I Just) Died In Your Arms
07/07/2016 12:17,Bangles,Manic Monday
07/07/2016 12:11,Village People,Y.M.C.A
07/07/2016 12:06,Billy Idol,Hot In The City
07/07/2016 12:03,Frankie Goes To Hollywood,Relax
07/07/2016 11:52,Prince,1999
07/07/2016 11:48,Hall &amp; Oates,Maneater
07/07/2016 11:41,David Bowie,Starman
07/07/2016 11:35,Bryan Ferry,Slave To Love
07/07/2016 11:30,Nik Kershaw,Wouldn&apos;t It Be Good
07/07/2016 11:26,Beatles,Here Comes The Sun
07/07/2016 11:20,Alphaville,Big In Japan
07/07/2016 11:17,Rick Astley,Together Forever
07/07/2016 11:10,Donna Summer,Hot Stuff
07/07/2016 11:03,Peter Gabriel,Sledgehammer
07/07/2016 10:59,Madonna,Open Your Heart
07/07/2016 10:52,Ray Parker Jr.,Ghostbusters
07/07/2016 10:49,Elton John,I&apos;m Still Standing
07/07/2016 10:45,Queen,I Want To Break Free
07/07/2016 10:39,John Lennon,Woman
07/07/2016 10:33,Tears For Fears,Everybody Wants To Rule The World
07/07/2016 10:29,Sandra,Maria Magdalena
07/07/2016 10:24,Buggles,Video Killed The Radio Star
07/07/2016 10:18,Weather Girls,It´s Raining Men
07/07/2016 10:16,Cher,Shoop Shoop Song (It´s In His Kiss)
07/07/2016 10:10,Tina Charles,I Love To Love
07/07/2016 10:06,Samantha Fox,I Only Wanna Be With You
07/07/2016 10:02,Boomtown Rats,I Don´t Like Mondays
07/07/2016 09:53,Earth Wind &amp; Fire,Let&apos;s Groove
07/07/2016 09:49,Bob Marley,Could You Be Loved
07/07/2016 09:44,Steve Miller Band,Abracadabra (Round n&apos; Round)
07/07/2016 09:40,Madonna,Express Yourself
07/07/2016 09:37,Abba,One Of Us
07/07/2016 09:32,Billy Idol,Sweet Sixteen
07/07/2016 09:26,Rod Stewart,Da Ya Think I&apos;m Sexy?
07/07/2016 09:22,Bad Boys Blue,You´re A Woman
07/07/2016 09:17,LaBelle,Lady Marmalade
07/07/2016 09:13,Pet Shop Boys,Always On My Mind
07/07/2016 09:09,Bonnie Tyler,It&apos;s A Heartache
07/07/2016 09:06,Robert Palmer,Johnny And Mary
07/07/2016 09:01,ABBA,Lay All Your Love On Me
07/07/2016 08:55,Mamas &amp; The Papas,California Dreaming
07/07/2016 08:51,Boney M.,Ma Baker
07/07/2016 08:45,Bee Gees,Night Fever
07/07/2016 08:41,F.R. David,Words
07/07/2016 08:38,Stevie Wonder,You&apos;re The Sunshine Of My Life
07/07/2016 08:34,Billy Idol,White Wedding
07/07/2016 08:27,Art Company,Suzanna
07/07/2016 08:24,Paul Young,Love Of The Common People
07/07/2016 08:20,10 Cc,Dreadlock Holiday
07/07/2016 08:17,Shakin Stevens,You Drive Me Crazy
07/07/2016 08:10,Cliff Richard,We Don&apos;t Talk Anymore
07/07/2016 08:04,Bonnie Tyler,Holding Out For Hero
07/07/2016 08:00,Mungo Jerry,In The Summertime
07/07/2016 07:57,Irene Cara,Fame
07/07/2016 07:49,Queen,Radio Ga Ga
07/07/2016 07:45,Prince,Cream
07/07/2016 07:42,Harpo,Moviestar
07/07/2016 07:36,Sandra,In The Heat Of The Night
07/07/2016 07:33,Gloria Gaynor,Reach Out I´ll Be There
07/07/2016 07:29,Tina Turner,We Don&apos;t Need Another Hero (Thunderdome)
07/07/2016 07:24,Supremes,Stop! In The Name Of Love
07/07/2016 07:20,David Bowie,Let´s Dance
07/07/2016 07:17,Abba,S.O.S
07/07/2016 07:13,Billy Joel,The River Of Dreams
07/07/2016 07:09,John Waite,Missing You
07/07/2016 07:05,Boney M,Sunny
07/07/2016 06:58,Michael Jackson,Bad
07/07/2016 06:54,Earth Wind &amp; Fire,September
07/07/2016 06:50,Michael Sembello,Maniac
07/07/2016 06:44,Dexy&apos;s Midnight Runners,Come On Eileen
07/07/2016 06:41,Rick Astley,Never Gonna Give You Up
07/07/2016 06:39,Beatles,Can´t Buy Me Love
07/07/2016 06:32,Steve Winwood,Higher Love
07/07/2016 06:29,Thelma Houston,Don&apos;t Leave Me This Way
07/07/2016 06:24,Phil Collins,In The Air Tonight
07/07/2016 06:18,Simon &amp; Garfunkel,Mrs. Robinson
07/07/2016 06:13,Madonna,Like A Prayer
07/07/2016 06:09,Paula Abdul,Straight Up
07/07/2016 06:05,Village People,Go West
07/07/2016 06:02,Phill Collins,Two Hearts
07/07/2016 05:59,Queen,Don´t Stop Me Now
07/07/2016 05:54,Taylor Dayne,Tell It To My Heart
07/07/2016 05:50,Pet Shop Boys,It&apos;s A Sin
07/07/2016 05:47,Tom Jones,She&apos;s A Lady
07/07/2016 05:43,Michael Jackson,Billie Jean
07/07/2016 05:39,Bryan Adams,Heaven
07/07/2016 05:35,Prince,When Doves Cry
07/07/2016 05:30,Abba,Chiquitita
07/07/2016 05:26,Joe Cocker,Summer In The City
07/07/2016 05:23,Gloria Gaynor,I Will Survive
07/07/2016 05:18,Pointer Sisters,Jump (For My Love)
07/07/2016 05:14,Donna Summer,Bad Girls
07/07/2016 05:10,Murray Head,One Night In Bangkok
07/07/2016 05:08,J.J. Cale,Cocaine
07/07/2016 05:03,Belinda Carlisle,Leave a Light On
07/07/2016 05:00,Bananarama,Venus
07/07/2016 04:56,ABBA,Mamma Mia
07/07/2016 04:52,Terence Trent D&apos;arby,Sign Your Name
07/07/2016 04:48,Fleetwood Mac,Little Lies
07/07/2016 04:46,Aretha Franklin,Respect
07/07/2016 04:42,Nik Kershaw,The Riddle
07/07/2016 04:39,Patti Smith,Because The Night
07/07/2016 04:36,Kim Wilde,You Came
07/07/2016 04:31,Earth Wind &amp; Fire,Fantasy
07/07/2016 04:28,Modern Talking,"You´re My Heart, You´re My Soul"
07/07/2016 04:24,Anita Ward,Ring My Bell
07/07/2016 04:20,Hooters,500 miles
07/07/2016 04:17,Percy Sledge,When A Man Loves A Woman
07/07/2016 04:14,Culture Club,Do You Really Want To Hurt Me
07/07/2016 04:10,Bee Gees,You Win Again
07/07/2016 04:05,Boston,More Than A Feeling
07/07/2016 04:02,ABBA,Summer Night City
07/07/2016 03:58,Prince,Kiss
07/07/2016 03:55,Pet Shop Boys,West End Girls
07/07/2016 03:51,Glenn Frey,The Heat Is On
07/07/2016 03:48,Chic,Good Times
07/07/2016 03:44,Madonna,La Isla Bonita
07/07/2016 03:41,Fine Young Cannibals,She Drives Me Crazy
07/07/2016 03:36,James Brown,Living In America
07/07/2016 03:32,Boney M.,Rivers Of Babylon
07/07/2016 03:27,Joe Cocker,Unchain My Heart
07/07/2016 03:22,Cliff Richard,We Don&apos;t Talk Anymore
07/07/2016 03:18,Bangles,Eternal Flame
07/07/2016 03:14,Bruce Springsteen,Born To Run
07/07/2016 03:10,Pointer Sisters,Im So Excited
07/07/2016 03:07,Bob Marley &amp; The Wailers,Jammin&apos;
07/07/2016 03:03,Gloria Gaynor,I Will Survive
07/07/2016 02:59,ABBA,The Winner Takes It All
07/07/2016 02:55,Roy Orbison,You Got It
07/07/2016 02:53,Queen,Crazy Little Thing Called Love
